title,genre,link
Slayers Try,"['Adventure', 'Comedy', 'Demons', 'Magic', 'Fantasy', 'Shounen']",https://myanimelist.net/anime/1172/Slayers_Try
Seikai no Senki II,"['Action', 'Military', 'Romance', 'Sci-Fi', 'Space']",https://myanimelist.net/anime/397/Seikai_no_Senki_II
Mobile Suit Gundam Wing: Endless Waltz Movie,"['Action', 'Space', 'Mecha', 'Military', 'Drama', 'Sci-Fi']",https://myanimelist.net/anime/2273/Mobile_Suit_Gundam_Wing__Endless_Waltz_Movie
Kyou kara Maou! 3rd Series,"['Adventure', 'Comedy', 'Demons', 'Fantasy', 'Shoujo']",https://myanimelist.net/anime/4080/Kyou_kara_Maou_3rd_Series
Kokoro Connect,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'School']",https://myanimelist.net/anime/11887/Kokoro_Connect
Jungle wa Itsumo Hare nochi Guu Deluxe,"['Comedy', 'Slice of Life']",https://myanimelist.net/anime/254/Jungle_wa_Itsumo_Hare_nochi_Guu_Deluxe
Hybrid Child,"['Drama', 'Historical', 'Romance', 'Sci-Fi', 'Shounen Ai']",https://myanimelist.net/anime/11135/Hybrid_Child
Hakuouki Movie 2: Shikon Soukyuu,"['Action', 'Historical', 'Supernatural', 'Drama', 'Samurai', 'Josei']",https://myanimelist.net/anime/13119/Hakuouki_Movie_2__Shikon_Soukyuu
Haikyuu!! Movie 1: Owari to Hajimari,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",https://myanimelist.net/anime/29755/Haikyuu_Movie_1__Owari_to_Hajimari
Gungrave,"['Action', 'Drama', 'Sci-Fi', 'Seinen', 'Super Power']",https://myanimelist.net/anime/267/Gungrave
Goku Sayonara Zetsubou Sensei,"['Comedy', 'Parody', 'School', 'Shounen']",https://myanimelist.net/anime/4872/Goku_Sayonara_Zetsubou_Sensei
Ginga Eiyuu Densetsu Gaiden (1999),"['Drama', 'Military', 'Sci-Fi', 'Space']",https://myanimelist.net/anime/3665/Ginga_Eiyuu_Densetsu_Gaiden_1999
Douluo Dalu,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts', 'Romance']",https://myanimelist.net/anime/37150/Douluo_Dalu
Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,"['Action', 'Military', 'Super Power', 'Mecha']",https://myanimelist.net/anime/6768/Code_Geass__Hangyaku_no_Lelouch_R2_Special_Edition_-_Zero_Requiem
Yuru Yuri♪♪,"['Slice of Life', 'Comedy', 'School', 'Shoujo Ai']",https://myanimelist.net/anime/12403/Yuru_Yuri%E2%99%AA%E2%99%AA
Sword Art Online: Alicization - War of Underworld,"['Action', 'Game', 'Adventure', 'Romance', 'Fantasy']",https://myanimelist.net/anime/39597/Sword_Art_Online__Alicization_-_War_of_Underworld
